circle,prov_sub,act_sub,att_sub,date
AP,98977,82153,81377,2025-06-22
AS,108170,94585,94216,2025-06-22
BR,106847,88795,87472,2025-06-22
CH,98126,76241,72601,2025-06-22
DL,92706,82464,80567,2025-06-22
GJ,93777,78442,76407,2025-06-22
HP,104781,85524,83632,2025-06-22
HR,112054,93394,89444,2025-06-22
JK,112091,91534,89745,2025-06-22
KA,117593,88298,84000,2025-06-22
KL,99077,76344,73255,2025-06-22
KO,104407,92689,92453,2025-06-22
MH,108366,92973,89440,2025-06-22
MP,104075,91449,88057,2025-06-22
MU,116949,100381,95736,2025-06-22
NE,100994,75798,75386,2025-06-22
OR,100481,84025,83236,2025-06-22
PB,95189,82943,80288,2025-06-22
RJ,96518,74468,72657,2025-06-22
TN,107773,91624,89898,2025-06-22
UE,90444,73377,70543,2025-06-22
UW,119351,95842,95661,2025-06-22
WB,100233,79688,75707,2025-06-22
