circle,date,4g_throughput,5g_throughput,cssr,dcr
AP,2025-06-23,21.83,100.56,96.32,98.15
AS,2025-06-23,18.97,66.92,98.08,96.69
BH,2025-06-23,23.62,110.63,99.22,95.13
CH,2025-06-23,16.3,93.56,96.12,96.99
DL,2025-06-23,19.38,53.35,99.88,94.08
GU,2025-06-23,18.39,67.08,96.1,94.82
HP,2025-06-23,23.44,78.1,95.88,98.02
HR,2025-06-23,23.59,81.92,99.5,98.33
JK,2025-06-23,24.93,60.21,98.23,91.67
KA,2025-06-23,22.88,56.11,95.04,98.37
KL,2025-06-23,21.36,94.15,96.32,90.76
KO,2025-06-23,12.3,72.41,99.59,95.4
MH,2025-06-23,18.58,71.23,98.4,90.23
MP,2025-06-23,24.53,81.29,98.25,98.21
MU,2025-06-23,12.05,61.49,98.38,95.99
NE,2025-06-23,18.04,106.63,96.5,96.21
OR,2025-06-23,12.34,108.39,99.63,92.9
PB,2025-06-23,17.07,62.58,99.87,99.26
RJ,2025-06-23,14.1,50.42,95.63,95.34
TN,2025-06-23,18.44,81.18,95.31,97.64
UE,2025-06-23,17.4,66.27,95.55,94.04
UW,2025-06-23,22.04,104.19,99.14,90.03
