circle,prov_sub,act_sub,att_sub,date
AP,98455,74556,71509,2025-06-21
AS,102511,86307,83659,2025-06-21
BR,110573,95882,92921,2025-06-21
CH,119919,107084,105723,2025-06-21
DL,112832,90169,86441,2025-06-21
GJ,110097,90055,88953,2025-06-21
HP,92316,70133,69298,2025-06-21
HR,94522,75914,72170,2025-06-21
JK,113502,85691,83490,2025-06-21
KA,111924,98963,98198,2025-06-21
KL,111545,93890,92128,2025-06-21
KO,97957,78470,77791,2025-06-21
MH,112630,98593,97120,2025-06-21
MP,96946,76788,76568,2025-06-21
MU,117246,93685,90267,2025-06-21
NE,109680,88266,87422,2025-06-21
OR,102023,86376,84434,2025-06-21
PB,108125,92243,89220,2025-06-21
RJ,114939,87778,87098,2025-06-21
TN,112319,88230,84306,2025-06-21
UE,108537,89505,86515,2025-06-21
UW,109308,82337,78450,2025-06-21
WB,98254,80624,79114,2025-06-21
