circle,date,4g_throughput,5g_throughput,cssr,dcr
AP,2025-06-20,24.77,78.42,97.13,95.21
AS,2025-06-20,23.08,107.49,97.07,94.56
BH,2025-06-20,20.48,117.66,95.66,90.27
CH,2025-06-20,24.63,110.61,96.89,90.13
DL,2025-06-20,19.47,72.39,98.32,96.7
GU,2025-06-20,11.01,64.63,96.15,96.2
HP,2025-06-20,24.07,53.46,97.2,95.49
HR,2025-06-20,21.79,102.83,96.82,94.61
JK,2025-06-20,20.56,53.14,98.29,90.46
KA,2025-06-20,13.69,80.44,98.34,93.34
KL,2025-06-20,20.19,84.88,97.02,93.77
KO,2025-06-20,16.71,107.62,98.43,98.51
MH,2025-06-20,14.7,111.14,96.34,94.53
MP,2025-06-20,15.27,50.97,98.9,97.63
MU,2025-06-20,17.17,68.35,99.64,92.94
NE,2025-06-20,10.13,115.63,95.98,96.47
OR,2025-06-20,19.17,114.68,97.76,91.64
PB,2025-06-20,24.76,56.63,98.2,90.06
RJ,2025-06-20,16.15,91.82,98.54,92.35
TN,2025-06-20,18.95,103.12,95.1,90.5
UE,2025-06-20,12.26,80.32,99.51,97.02
UW,2025-06-20,15.36,70.52,96.45,98.03
